Name,Ahub IDs BioC 3.16 and above,Assembly,Description,Original Region count,Filtered Region count,Missing Chromosomes,"Width, min/median/max, bp","Percent of the genome, %",Year last updated,Source,ID/URL,BEDbase ID,Ahub IDs BioC 3.15 and 3.14
hg19.UCSC.heterochromatin,AH107363,hg19,Gaps from large blocks of heterochromatin,12,12,"chr3, chr4, chr5, chr6, chr8, chr10, chr12, chr14, chr15, chr17, chr18, chr20, chr22, chrX, chrM, chrMT",20001/128501/30000001,2.3412,2020,UCSC,gap,8ea9b6cdfe68a4b4111e5b03157af371,AH95930
hg19.UCSC.clone,AH107364,hg19,"Gaps between clones in the same map contig. Has extra chromosomes, use keepStandardChromosomes() filtering",207,107,"chr13, chr14, chr22, chrM, chrMT",40443/50001/486182,0.1979,2020,UCSC,gap,4f3b1098a0f4ea5e81747f4414a8d294,AH95928
hg19.UCSC.contig,AH107365,hg19,Gaps between contigs in scaffolds,163,163,"chrM, chrMT",701/50001/4200001,0.5207,2020,UCSC,gap,a4da41916b0b213d4e3b89f5ab20e1e8,AH95929
hg19.UCSC.scaffold,AH107366,hg19,Gaps between scaffolds in chromosome assemblies. Only non-autosomal chromosomes,40,0,NA,0/0/0,0,2020,UCSC,gap,NA,NA
mm39.UCSC.centromere,AH107367,mm39,Gaps from centromeres,20,20,"chrY, chrM",2890001/2890001/2890001,2.1223,2020,UCSC,gap,1aa3f73ffa8e6d498f0f3f22e0302472,NA
mm39.UCSC.telomere,AH107368,mm39,Gaps from telomeres,42,42,chrM,100001/100001/100001,0.1542,2020,UCSC,gap,883bdae38244c6f0e0facfbd4fcc601b,NA
mm39.UCSC.short_arm,AH107369,mm39,Gaps on the short arm of the chromosome,21,21,chrM,10001/10001/10001,0.0077,2020,UCSC,gap,f61de62eae0898943e6c9d163b0a3989,NA
mm39.UCSC.contig,AH107370,mm39,Gaps between contigs in scaffolds,60,60,"chr3, chr18, chrM",8001/50001/500001,0.1567,2020,UCSC,gap,732437d9fcb8992b2e5c6513bfed2586,NA
mm39.UCSC.scaffold,AH107371,mm39,Gaps between scaffolds in chromosome assemblies,181,115,"chr1, chr15, chr19, chrM",28/50001/522001,0.2575,2020,UCSC,gap,97e738326c0681f5ebe94b0d28d058c5,AH95939
mm10.UCSC.centromere,AH107372,mm10,Gaps from centromeres,20,20,"chrY, chrM",2890001/2890001/2890001,2.1207,2021,UCSC,gap,b0f9aa3cc8a4a43f59b463891b5d12c8,AH95945
mm10.UCSC.telomere,AH107373,mm10,Gaps from telomeres,42,42,chrM,100001/100001/100001,0.1541,2021,UCSC,gap,051090e82c227bcc55dba3e953bc6daa,AH95944
mm10.UCSC.short_arm,AH107374,mm10,Gaps on the short arm of the chromosome,21,21,chrM,10001/10001/10001,0.0077,2021,UCSC,gap,f4d2d6fe334deca5800ca9ae39ce95ce,AH95940
mm10.UCSC.clone,AH107375,mm10,"Gaps between clones in the same map contig. Has extra chromosomes, use keepStandardChromosomes() filtering",114,4,"chr1, chr3, chr4, chr5, chr7, chr8, chr9, chr10, chr11, chr12, chr13, chr14, chr16, chr17, chr18, chr19, chrX, chrY, chrM",50001/50001/50001,0.0073,2021,UCSC,gap,9ecfce46335e4d5b3a1230b69690a25a,AH95941
mm10.UCSC.contig,AH107376,mm10,Gaps between contigs in scaffolds,104,104,chrM,718/55001/800001,0.3484,2021,UCSC,gap,82d2374cf5524a2b13dcf9c3dc487d6f,AH95943
mm10.UCSC.scaffold,AH107377,mm10,Gaps between scaffolds in chromosome assemblies,48,0,NA,0/0/0,0,2021,UCSC,gap,NA,AH95946
mm10.UCSC.other,AH107378,mm10,"Sequence of Ns in the assembly that were not marked as gaps in the AGP (A Golden Path) assembly definition file. Has extra chromosomes, use keepStandardChromosomes() filtering",384,383,chrM,2/101/300001,0.2237,2021,UCSC,gap,75662812e5eb228b25c9ae5a28fbb402,AH95948
mm10.UCSC.fragment,AH107379,mm10,A single gap of 31 bases in chrX_GL456233_random,1,0,NA,0/0/0,0,2021,UCSC,gap,NA,AH95947
mm9.UCSC.centromere,AH107380,mm9,Gaps from centromeres,21,21,chrM,3000001/3000001/3000001,2.373,2007,UCSC,gap,99e4d2c9a794d321bfcf01709787caac,NA
mm9.UCSC.fragment,AH107381,mm9,"Gaps between the contigs of a draft clone. (In this context, a contig is a set of overlapping sequence reads). Has extra chromosomes, use keepStandardChromosomes() filtering",709,436,"chr6, chr15, chrM",101/101/222254,0.1271,2007,UCSC,gap,ecf3f802759c5dc93f1446b6942c58b3,NA
mm9.UCSC.contig,AH107382,mm9,"Gaps between contigs in scaffolds. Has extra chromosomes, use keepStandardChromosomes() filtering",281,105,chrM,1701/50001/10000001,1.1305,2007,UCSC,gap,4dd8bb54f6432144c045619337d8212e,NA
danRer10.UCSC.contig,AH107383,danRer10,Gaps between contigs in scaffolds,2338,2338,chrM,101/101/101,0.0176,2015,UCSC,gap,5d41a9fa328769b63734e11e6ae4252b,NA
danRer10.UCSC.scaffold,AH107384,danRer10,Gaps between scaffolds in chromosome assemblies,18955,16496,chrM,11/101/101,0.1173,2015,UCSC,gap,a5feefb2d573d265f1085043c208c2ed,NA
dm6.UCSC.other,AH107385,dm6,Sequence of Ns in the assembly that were not marked as gaps in the AGP (A Golden Path) assembly definition file,572,268,chrM,14/101/53861,0.3567,2014,UCSC,gap,11a80264dcdad6c0868ea48637a799df,NA
dm3.UCSC.contig,NA,dm3,Gaps between contigs in scaffolds,37665,7,"chr3R, chrM",101/101/18001,0.0155,2006,UCSC,gap,f9822a0f88047e92cf92824fe025b2f2,
dm3.UCSC.scaffold,NA,dm3,Gaps between scaffolds in chromosome assemblies,8,1,"chr2L, chr2R, chr3L, chr3R, chr4, chrM",72001/72001/72001,0.0598,2006,UCSC,gap,d4e31a2c488de8ff335b0cb779c9cef5,
TAIR10.UCSC.araTha1.gap,NA,TAIR10,Gaps in the May 2011 Arabidopsis thaliana genome assembly,357,357,"chrMT, chrPltd",1/2/53000,0.1556,2013,UCSChub,https://genome-test.gi.ucsc.edu/~hiram/hubs/Plants/araTha1/bbi/araTha1.gap.bb,74585119b9b90d3b4ad077b10b487d39,
